Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy) (1)/div_L""))",Chrome 74.0.3729.169,,2019-06-17 10:38:12,2019-06-17 10:38:12,0.140s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_OS_cs-font clever-icon-plus""))",Chrome 74.0.3729.169,,2019-06-17 10:38:12,2019-06-17 10:38:12,0.135s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Softly Edelweiss Swiss Dot Dress (Powder Blue)/button_Add to Cart""))",Chrome 74.0.3729.169,,2019-06-17 10:38:12,2019-06-17 10:38:13,0.237s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_2                                        2                items""))",Chrome 74.0.3729.169,,2019-06-17 10:38:13,2019-06-17 10:38:16,3.262s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:38:16,2019-06-17 10:38:21,5.003s,PASSED
"click(findTestObject(""View Kart/Page_Lana Lace Romper (Navy)/span_View cart""))",Chrome 74.0.3729.169,,2019-06-17 10:38:21,2019-06-17 10:38:34,13.376s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:38:34,2019-06-17 10:38:44,10.004s,PASSED
"click(findTestObject(""GuestUser/Page_Shopping Cart/strong_Summary""))",Chrome 74.0.3729.169,,2019-06-17 10:38:44,2019-06-17 10:38:44,0.133s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:38:44,2019-06-17 10:38:49,5.002s,PASSED
"scrollToElement(findTestObject(""add to cart/menu_cart_mini/Page_Shopping Cart/button_GO TO CHECKOUT""), 5)",Chrome 74.0.3729.169,,2019-06-17 10:38:49,2019-06-17 10:38:49,0.105s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Shopping Cart/button_GO TO CHECKOUT""))",Chrome 74.0.3729.169,,2019-06-17 10:38:49,2019-06-17 10:38:50,0.151s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:38:50,2019-06-17 10:38:55,5.006s,PASSED
"setText(findTestObject(""GuestUser/Page_Shopping Cart/input_Email Address_username""), ""himangi.tankha+5@ranosys.com"")",Chrome 74.0.3729.169,,2019-06-17 10:38:55,2019-06-17 10:38:55,0.277s,PASSED
"setText(findTestObject(""GuestUser/Page_Shopping Cart/input_Password_password""), ""password123"")",Chrome 74.0.3729.169,,2019-06-17 10:38:55,2019-06-17 10:38:55,0.164s,PASSED
"click(findTestObject(""GuestUser/Page_Shopping Cart/button_Sign In""))",Chrome 74.0.3729.169,,2019-06-17 10:38:55,2019-06-17 10:38:55,0.169s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:38:55,2019-06-17 10:39:05,10.004s,PASSED
"click(findTestObject(""Checkout/Page_Shopping Cart/ul_GO TO CHECKOUT                                                    Check Out with Multiple Addresses""))",Chrome 74.0.3729.169,,2019-06-17 10:39:05,2019-06-17 10:39:05,0.115s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Shopping Cart/button_GO TO CHECKOUT""))",Chrome 74.0.3729.169,,2019-06-17 10:39:05,2019-06-17 10:39:14,8.400s,PASSED
delay(30),Chrome 74.0.3729.169,,2019-06-17 10:39:14,2019-06-17 10:39:44,30.001s,PASSED
"click(findTestObject(""Checkout/Page_Checkout/input_Place Order_paymentmethod""))",Chrome 74.0.3729.169,,2019-06-17 10:39:44,2019-06-17 10:39:44,0.156s,PASSED
"scrollToElement(findTestObject(""Checkout/Page_Checkout/input_Carrier Title_ko_unique_4""), 0)",Chrome 74.0.3729.169,,2019-06-17 10:39:44,2019-06-17 10:39:44,0.090s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:39:44,2019-06-17 10:39:54,10.005s,PASSED
"click(findTestObject(""New Checkout/Page_Checkout/input_Self-collection_ko_unique_6""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-17 10:39:54,2019-06-17 10:39:54,0.190s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:39:54,2019-06-17 10:39:59,5.011s,PASSED
"click(findTestObject(""TandC/Page_Checkout/input_SGD 4300_agreement2""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-17 10:39:59,2019-06-17 10:39:59,0.187s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:39:59,2019-06-17 10:40:09,10.002s,PASSED
"click(findTestObject(""checkout place order/Page_Checkout/button_Place Order""))",Chrome 74.0.3729.169,,2019-06-17 10:40:09,2019-06-17 10:40:41,32.079s,FAILED
,,,,,,
Test Cases/Add Receipt,Chrome 74.0.3729.169,,2019-06-17 10:40:41,2019-06-17 10:41:44,1m - 2.176s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 74.0.3729.169,,2019-06-17 10:40:42,2019-06-17 10:40:45,3.112s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:40:45,2019-06-17 10:40:55,10.003s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-b-icon""))",Chrome 74.0.3729.169,,2019-06-17 10:40:55,2019-06-17 10:40:55,0.093s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/li_My Orders""))",Chrome 74.0.3729.169,,2019-06-17 10:40:55,2019-06-17 10:40:59,3.757s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:40:59,2019-06-17 10:41:04,5.003s,PASSED
"click(findTestObject(""Add Receipt/Page_My Orders/span_View Order""))",Chrome 74.0.3729.169,,2019-06-17 10:41:04,2019-06-17 10:41:07,3.044s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:41:07,2019-06-17 10:41:12,5.012s,PASSED
"click(findTestObject(""Add Receipt/Page_Order  000000052/span_Add Receipt""))",Chrome 74.0.3729.169,,2019-06-17 10:41:12,2019-06-17 10:41:44,31.824s,FAILED
